name,size
decimal1363.csv,100486
decimal3574.csv,9054
decimal3212.csv,14894
decimal1405.csv,67463
decimal1411.csv,8624
decimal158.csv,9761
decimal2118.csv,75845
decimal3206.csv,8733
decimal3560.csv,2658
decimal1377.csv,5821
decimal1407.csv,14645
decimal3210.csv,4693
decimal628.csv,567
decimal2668.csv,12675
decimal1361.csv,33112
decimal1375.csv,29881
decimal3562.csv,38566
decimal3204.csv,161972
decimal1413.csv,39208
decimal2132.csv,109463
decimal172.csv,43874
decimal614.csv,56675
decimal2654.csv,8861
decimal600.csv,64824
decimal2640.csv,175561
decimal2898.csv,6342
decimal1349.csv,14903
decimal3238.csv,60154
decimal2126.csv,18445
decimal166.csv,8791
decimal833.csv,477
decimal2873.csv,3784
decimal827.csv,17675
decimal2867.csv,3556
decimal199.csv,7346
decimal2697.csv,61214
decimal2683.csv,127281
decimal1163.csv,11400
decimal3012.csv,8073
decimal1605.csv,11382
decimal1611.csv,57908
decimal358.csv,25990
decimal2318.csv,10727
decimal3006.csv,23569
decimal1177.csv,7784
decimal2456.csv,216850
decimal416.csv,27184
decimal1639.csv,140082
decimal370.csv,128483
decimal2330.csv,2969
decimal364.csv,29218
decimal2324.csv,45550
decimal2442.csv,34212
decimal402.csv,25553
decimal20.csv,108258
decimal34.csv,11521
decimal2495.csv,89946
decimal1822.csv,60045
decimal1836.csv,2749
decimal2481.csv,3642
decimal1188.csv,2749
decimal1017.csv,26554
decimal3166.csv,5286
decimal2278.csv,1271
decimal238.csv,28662
decimal1771.csv,3985
decimal1765.csv,26966
decimal3172.csv,8944
decimal1003.csv,88652
decimal562.csv,100663
decimal2522.csv,371
decimal1995.csv,1716
decimal2244.csv,9457
decimal204.csv,7662
decimal2250.csv,4698
decimal210.csv,6786
decimal1759.csv,5496
decimal1981.csv,32124
decimal576.csv,41503
decimal2536.csv,58140
decimal7.csv,16461
decimal589.csv,5438
decimal2287.csv,92171
decimal3199.csv,10153
decimal1956.csv,186991
decimal1942.csv,16123
decimal2293.csv,84860
decimal1573.csv,6859
decimal3364.csv,6962
decimal984.csv,4812
decimal3402.csv,171174
decimal1215.csv,18435
decimal1201.csv,128077
